Age,Gender,EducationLevel,ExperienceYears,PreviousCompanies,DistanceFromCompany,InterviewScore,SkillScore,PersonalityScore,RecruitmentStrategy,HiringDecision
47.0,Female,Bachelor's (Type 2),11.0,5,45.91776376,56.0,22.0,23.0,Moderate,0
35.0,Male,Bachelor's (Type 1),6.0,1,30.13430733,74.0,67.0,18.0,Aggressive,1
34.0,Female,Bachelor's (Type 2),10.0,1,7.205368386,33.0,20.0,82.0,Aggressive,1
49.0,Male,Master's,2.0,1,7.070745275,67.0,100.0,99.0,Conservative,0
49.0,Female,Bachelor's (Type 2),9.0,2,37.05661787,74.0,42.0,8.0,Conservative,0
34.0,Male,Bachelor's (Type 2),1.0,2,10.18923326,28.0,94.0,35.0,Aggressive,0
49.0,Female,Bachelor's (Type 1),8.0,5,17.41927498,65.0,84.0,39.0,Moderate,0
38.0,Male,Bachelor's (Type 2),2.0,1,25.36060035,15.0,25.0,92.0,Moderate,0
31.0,Female,Bachelor's (Type 2),15.0,3,2.238243879,38.0,40.0,23.0,Moderate,0
42.0,Male,Bachelor's (Type 2),1.0,5,13.44095135,76.0,98.0,47.0,Conservative,0
39.0,Female,Bachelor's (Type 2),11.0,1,21.39448043,36.0,37.0,62.0,Aggressive,1
44.0,Male,Bachelor's (Type 2),7.0,1,14.98181592,80.0,87.0,68.0,Moderate,1
22.0,Female,Bachelor's (Type 2),,2,7.818516373,20.0,10.0,52.0,Moderate,0
24.0,Male,Bachelor's (Type 1),5.0,5,37.40061289,43.0,28.0,53.0,Moderate,0
38.0,Male,Bachelor's (Type 1),5.0,1,41.65738276,,59.0,41.0,Moderate,0
26.0,Female,Bachelor's (Type 2),9.0,1,13.87394881,70.0,66.0,44.0,Conservative,0
40.0,Female,Bachelor's (Type 2),10.0,5,39.72097473,7.0,64.0,89.0,Aggressive,1
28.0,Male,Bachelor's (Type 2),6.0,3,20.27767822,76.0,60.0,13.0,Aggressive,1
26.0,Female,Bachelor's (Type 2),6.0,5,26.33428954,100.0,18.0,28.0,Aggressive,1
37.0,Male,Bachelor's (Type 2),10.0,5,43.80005374,65.0,45.0,5.0,Conservative,0
23.0,Male,Master's,12.0,3,38.49768409,40.0,48.0,6.0,Moderate,0
44.0,Male,Bachelor's (Type 1),14.0,5,41.25584257,74.0,21.0,36.0,Moderate,0
47.0,Female,Bachelor's (Type 2),5.0,1,7.842258329,87.0,77.0,52.0,Aggressive,1
33.0,Male,Master's,3.0,5,4.485971292,69.0,56.0,17.0,Conservative,0
37.0,Male,Bachelor's (Type 2),10.0,3,45.67023645,60.0,13.0,86.0,Conservative,0
45.0,Female,Bachelor's (Type 2),8.0,4,20.39171348,25.0,43.0,37.0,Moderate,0
28.0,Female,PhD,5.0,5,15.3939839,70.0,15.0,58.0,Moderate,0
45.0,Female,Master's,3.0,2,37.23481271,82.0,96.0,0.0,Aggressive,1
40.0,Female,Bachelor's (Type 2),11.0,1,42.82077983,69.0,76.0,67.0,Moderate,0
21.0,Male,Bachelor's (Type 2),2.0,1,44.12448109,28.0,11.0,43.0,Moderate,0
39.0,Male,Bachelor's (Type 2),3.0,2,16.79985706,65.0,54.0,46.0,Aggressive,0
47.0,Male,Bachelor's (Type 2),2.0,2,43.61061956,18.0,50.0,34.0,Moderate,0
34.0,Male,Bachelor's (Type 2),14.0,5,3.046697219,67.0,,86.0,Aggressive,1
47.0,Female,Bachelor's (Type 2),1.0,2,3.483074573,57.0,32.0,90.0,Moderate,0
26.0,Male,Bachelor's (Type 2),13.0,4,32.17595976,69.0,32.0,59.0,Moderate,0
31.0,Male,Bachelor's (Type 2),4.0,3,4.155318456,56.0,28.0,89.0,Aggressive,0
48.0,Female,Master's,1.0,2,17.23045843,36.0,68.0,51.0,Moderate,0
27.0,Male,Bachelor's (Type 2),5.0,2,34.63779931,60.0,69.0,7.0,Moderate,0
34.0,Male,Bachelor's (Type 1),2.0,4,17.8633448,91.0,30.0,79.0,Aggressive,1
22.0,Male,Bachelor's (Type 2),5.0,1,9.979989072,29.0,79.0,40.0,Conservative,0
33.0,Male,Bachelor's (Type 2),14.0,1,15.06753109,70.0,30.0,2.0,Aggressive,0
36.0,Male,Bachelor's (Type 2),10.0,5,23.87876661,72.0,88.0,95.0,Moderate,1
23.0,Male,Bachelor's (Type 2),9.0,4,24.76929277,24.0,45.0,68.0,Aggressive,1
37.0,Female,Bachelor's (Type 2),8.0,3,40.15001157,96.0,96.0,83.0,Aggressive,1
27.0,Female,Bachelor's (Type 2),0.0,3,38.50766147,64.0,76.0,13.0,Aggressive,0
23.0,Male,Bachelor's (Type 1),15.0,4,23.84089023,5.0,51.0,95.0,Aggressive,1
21.0,Male,Bachelor's (Type 1),15.0,3,43.28336745,17.0,9.0,25.0,Moderate,0
49.0,Female,Bachelor's (Type 2),5.0,1,6.71185693,9.0,87.0,,Aggressive,1
25.0,Male,Bachelor's (Type 2),8.0,3,13.76766751,91.0,73.0,57.0,Moderate,0
41.0,Male,PhD,10.0,3,42.39882318,10.0,40.0,99.0,Aggressive,1
29.0,Male,Bachelor's (Type 2),3.0,4,19.89970193,96.0,94.0,39.0,Aggressive,1
23.0,Female,Bachelor's (Type 2),10.0,4,50.05907794,64.0,76.0,50.0,Moderate,0
41.0,Male,Bachelor's (Type 2),11.0,3,24.31266408,76.0,2.0,4.0,Conservative,0
48.0,Female,Bachelor's (Type 1),1.0,2,40.59678115,100.0,58.0,76.0,Moderate,0
50.0,Male,PhD,12.0,4,21.11535207,83.0,51.0,31.0,Moderate,1
37.0,Female,Bachelor's (Type 2),3.0,5,22.24767595,64.0,33.0,79.0,Aggressive,0
45.0,Female,Master's,0.0,5,20.14415736,51.0,48.0,0.0,Conservative,0
31.0,Male,Bachelor's (Type 1),2.0,1,36.95378103,66.0,27.0,76.0,Aggressive,0
21.0,Female,Bachelor's (Type 2),9.0,3,28.3758942,81.0,82.0,53.0,Aggressive,1
29.0,Male,Bachelor's (Type 2),8.0,2,48.18890557,77.0,86.0,10.0,Moderate,0
49.0,Female,Master's,9.0,1,13.54451583,30.0,95.0,52.0,Moderate,0
23.0,Male,Bachelor's (Type 1),4.0,3,6.028136604,90.0,12.0,7.0,Conservative,0
33.0,Male,Bachelor's (Type 2),14.0,4,20.66307425,16.0,96.0,24.0,Aggressive,1
50.0,Female,PhD,10.0,5,31.83563538,54.0,97.0,39.0,Conservative,0
35.0,Male,Bachelor's (Type 2),5.0,2,44.03994685,92.0,96.0,31.0,Moderate,0
34.0,Male,Bachelor's (Type 2),2.0,5,18.30984433,35.0,68.0,87.0,Moderate,0
27.0,Female,Bachelor's (Type 1),15.0,4,33.68933756,100.0,66.0,27.0,Aggressive,1
33.0,Male,PhD,4.0,3,18.50993405,25.0,60.0,77.0,Aggressive,1
42.0,Male,Bachelor's (Type 1),10.0,4,31.86097915,52.0,59.0,2.0,Conservative,0
47.0,Female,Master's,7.0,4,45.24039735,16.0,70.0,99.0,Moderate,1
44.0,Female,Master's,5.0,5,12.56788211,85.0,23.0,90.0,Moderate,0
49.0,Male,Bachelor's (Type 2),3.0,2,21.21208211,24.0,62.0,83.0,Conservative,0
27.0,Male,Bachelor's (Type 2),1.0,4,50.66325982,1.0,85.0,78.0,Aggressive,1
40.0,Female,Bachelor's (Type 1),13.0,5,44.42785141,85.0,60.0,61.0,Moderate,1
35.0,Female,Bachelor's (Type 2),8.0,2,29.23199289,4.0,22.0,26.0,Moderate,0
32.0,Male,Master's,12.0,3,26.83137959,3.0,29.0,44.0,Aggressive,1
37.0,Female,Master's,11.0,3,15.23001912,35.0,59.0,91.0,Aggressive,1
34.0,Male,Bachelor's (Type 2),0.0,1,26.86047138,5.0,17.0,24.0,Moderate,0
40.0,Male,Bachelor's (Type 2),0.0,5,43.40907491,20.0,95.0,60.0,Moderate,0
43.0,Male,Bachelor's (Type 1),12.0,2,35.25872566,76.0,55.0,43.0,,0
45.0,Male,Bachelor's (Type 1),3.0,4,15.50220141,100.0,52.0,96.0,Aggressive,1
44.0,Male,Bachelor's (Type 1),6.0,3,11.07319605,88.0,6.0,45.0,Conservative,0
47.0,Female,Bachelor's (Type 2),0.0,2,14.26042685,25.0,96.0,13.0,Aggressive,0
47.0,Female,Bachelor's (Type 2),8.0,5,9.48796007,54.0,68.0,7.0,Moderate,0
47.0,Female,Bachelor's (Type 2),3.0,1,5.782034801,38.0,91.0,47.0,Moderate,0
32.0,Female,Bachelor's (Type 2),2.0,3,21.95680872,83.0,71.0,13.0,Aggressive,1
28.0,Male,Bachelor's (Type 2),0.0,2,6.66498022,32.0,78.0,64.0,Aggressive,1
48.0,Male,Bachelor's (Type 2),9.0,2,9.595627886,13.0,51.0,79.0,Moderate,0
34.0,Male,Master's,3.0,2,28.36623422,55.0,3.0,81.0,Conservative,0
32.0,Male,Bachelor's (Type 2),8.0,5,9.229963685,99.0,33.0,6.0,Aggressive,1
20.0,Female,PhD,12.0,5,4.193988372,80.0,68.0,78.0,Moderate,1
44.0,Male,Master's,13.0,5,16.8694425,20.0,32.0,87.0,Moderate,0
26.0,Male,Bachelor's (Type 1),9.0,4,12.01595493,45.0,68.0,48.0,Aggressive,1
28.0,Female,Master's,15.0,2,26.7652594,15.0,37.0,54.0,Moderate,0
43.0,Female,Bachelor's (Type 2),15.0,3,6.118354229,15.0,97.0,12.0,Conservative,0
20.0,Female,Bachelor's (Type 2),5.0,5,38.58853938,83.0,25.0,72.0,Moderate,0
31.0,Female,Bachelor's (Type 2),15.0,5,46.31167597,28.0,0.0,55.0,Conservative,0
27.0,Male,Bachelor's (Type 2),5.0,2,38.1717587,91.0,3.0,55.0,Aggressive,0
43.0,Male,Bachelor's (Type 2),0.0,5,27.64135187,7.0,38.0,14.0,Moderate,0
50.0,Female,Bachelor's (Type 2),9.0,4,44.03339109,87.0,53.0,56.0,Moderate,0
30.0,Male,Bachelor's (Type 2),1.0,4,35.74591899,2.0,89.0,57.0,Moderate,0
38.0,Male,Bachelor's (Type 2),10.0,5,1.527556123,88.0,32.0,34.0,Moderate,0
36.0,Male,Bachelor's (Type 2),5.0,2,20.70450764,18.0,32.0,87.0,Aggressive,0
27.0,Female,Master's,1.0,2,43.54759497,96.0,71.0,96.0,Moderate,1
22.0,Male,Bachelor's (Type 1),2.0,2,18.2929429,65.0,19.0,15.0,Moderate,0
22.0,Female,Bachelor's (Type 2),3.0,1,2.760758676,78.0,15.0,7.0,Aggressive,0
20.0,Male,Master's,10.0,5,38.30898193,85.0,20.0,92.0,Conservative,1
46.0,Male,Bachelor's (Type 2),4.0,2,41.10191351,73.0,44.0,86.0,Moderate,0
24.0,Male,Bachelor's (Type 1),14.0,4,9.029684752,81.0,89.0,44.0,Moderate,0
29.0,Female,Bachelor's (Type 1),8.0,3,27.86702484,21.0,86.0,94.0,Aggressive,1
26.0,Male,Bachelor's (Type 2),11.0,3,10.59777195,45.0,81.0,39.0,Aggressive,1
45.0,Female,PhD,14.0,2,36.96172095,90.0,61.0,53.0,Moderate,1
28.0,Female,Bachelor's (Type 2),14.0,3,14.57752276,12.0,30.0,13.0,Moderate,0
47.0,Female,PhD,3.0,3,16.81075613,32.0,41.0,58.0,Moderate,0
26.0,Male,Bachelor's (Type 2),12.0,1,43.24854268,4.0,11.0,93.0,Moderate,0
28.0,Male,Bachelor's (Type 2),10.0,4,24.81611761,89.0,64.0,52.0,Aggressive,1
27.0,Male,Bachelor's (Type 2),8.0,4,34.48772256,76.0,72.0,26.0,Moderate,0
31.0,Male,Bachelor's (Type 2),10.0,1,21.11865254,26.0,2.0,46.0,Moderate,0
21.0,Female,Bachelor's (Type 1),9.0,1,15.90034286,77.0,89.0,79.0,Moderate,1
20.0,Female,Master's,2.0,3,32.27390302,23.0,8.0,5.0,Aggressive,0
35.0,Female,Master's,7.0,5,8.742878704,66.0,50.0,54.0,Aggressive,1
42.0,Male,Bachelor's (Type 2),11.0,3,19.64999178,62.0,15.0,96.0,Moderate,0
42.0,Female,PhD,0.0,1,11.45185187,93.0,87.0,43.0,Aggressive,1
49.0,Male,Master's,10.0,4,35.78974835,98.0,77.0,17.0,Aggressive,1
43.0,Female,Bachelor's (Type 2),8.0,3,48.21044192,47.0,2.0,15.0,Aggressive,0
24.0,Male,Bachelor's (Type 1),8.0,5,50.7755484,62.0,97.0,11.0,Moderate,0
22.0,Male,Bachelor's (Type 2),9.0,3,23.51384052,77.0,96.0,19.0,Moderate,0
31.0,Female,Bachelor's (Type 2),1.0,2,13.62651948,11.0,23.0,44.0,Moderate,0
27.0,Female,Bachelor's (Type 2),3.0,3,23.14146852,27.0,72.0,63.0,Aggressive,1
41.0,Female,Bachelor's (Type 1),12.0,1,43.3634705,43.0,12.0,58.0,Moderate,0
46.0,Female,Master's,7.0,4,11.30028393,92.0,1.0,92.0,Aggressive,1
22.0,Male,Bachelor's (Type 1),6.0,4,48.60478258,42.0,70.0,93.0,Conservative,0
20.0,Female,Bachelor's (Type 2),0.0,1,18.09328844,16.0,20.0,89.0,Moderate,0
22.0,Female,PhD,4.0,2,50.29018297,39.0,18.0,21.0,Moderate,0
24.0,Female,Master's,6.0,1,42.93044438,48.0,88.0,96.0,Aggressive,1
34.0,Male,Bachelor's (Type 2),14.0,3,41.42852671,84.0,46.0,46.0,Aggressive,1
33.0,Male,Master's,15.0,1,16.89523369,56.0,21.0,28.0,Moderate,0
22.0,Female,Bachelor's (Type 1),3.0,1,1.438860597,86.0,74.0,85.0,Moderate,0
20.0,Male,Bachelor's (Type 1),14.0,2,20.10664544,83.0,32.0,44.0,Aggressive,1
24.0,Female,Bachelor's (Type 2),15.0,3,16.09046848,63.0,31.0,76.0,Conservative,0
45.0,Male,Bachelor's (Type 2),14.0,5,2.86984952,74.0,63.0,8.0,Conservative,0
42.0,Male,Bachelor's (Type 2),0.0,5,26.26826283,56.0,84.0,23.0,Moderate,0
50.0,Male,Bachelor's (Type 2),8.0,4,21.15156556,97.0,38.0,14.0,Conservative,0
33.0,Male,Bachelor's (Type 1),13.0,1,32.72782339,73.0,83.0,35.0,Aggressive,1
26.0,Female,Bachelor's (Type 2),4.0,4,32.05931611,73.0,71.0,12.0,Aggressive,1
46.0,Female,Bachelor's (Type 2),10.0,2,7.037331795,69.0,41.0,90.0,Aggressive,1
28.0,Female,Master's,15.0,5,49.84827731,99.0,100.0,43.0,Moderate,1
34.0,Male,Bachelor's (Type 2),1.0,1,10.34657147,87.0,8.0,100.0,Aggressive,1
34.0,Female,Bachelor's (Type 2),7.0,2,23.26370124,75.0,24.0,70.0,Conservative,0
45.0,Female,Bachelor's (Type 2),10.0,2,25.40587717,42.0,88.0,71.0,Aggressive,1
29.0,Female,Bachelor's (Type 1),12.0,1,41.65313986,22.0,96.0,100.0,Moderate,0
47.0,Male,Bachelor's (Type 1),1.0,2,5.961479805,26.0,1.0,77.0,Conservative,0
32.0,Male,Master's,2.0,1,22.43221396,57.0,18.0,75.0,Aggressive,1
38.0,Male,Bachelor's (Type 2),13.0,1,32.42510851,36.0,19.0,35.0,Aggressive,0
50.0,Female,Bachelor's (Type 1),9.0,3,11.75778108,5.0,92.0,60.0,Moderate,0
26.0,Female,Bachelor's (Type 2),0.0,4,32.37339494,64.0,69.0,80.0,Aggressive,1
36.0,Female,Bachelor's (Type 2),10.0,2,47.18324188,5.0,16.0,39.0,Aggressive,0
39.0,Male,Bachelor's (Type 2),15.0,2,50.87590656,49.0,88.0,92.0,Aggressive,1
48.0,Male,Bachelor's (Type 2),1.0,3,2.62255384,21.0,67.0,26.0,Moderate,0
23.0,Female,Bachelor's (Type 2),13.0,3,12.77941141,87.0,93.0,0.0,Conservative,0
49.0,Male,Bachelor's (Type 2),15.0,3,16.51535579,24.0,83.0,33.0,Conservative,0
24.0,Male,Bachelor's (Type 1),6.0,5,20.95630502,78.0,2.0,67.0,Aggressive,1
42.0,Male,Bachelor's (Type 2),9.0,5,13.11285788,89.0,86.0,87.0,Moderate,1
26.0,Male,Master's,1.0,5,11.17439973,71.0,50.0,20.0,Moderate,0
32.0,Female,Master's,5.0,1,48.72769212,50.0,81.0,32.0,Conservative,0
34.0,Male,Master's,14.0,2,46.92608014,87.0,25.0,6.0,Aggressive,1
30.0,Male,Bachelor's (Type 2),2.0,4,3.34962505,47.0,55.0,64.0,Moderate,0
48.0,Male,Bachelor's (Type 2),3.0,1,17.94065108,69.0,99.0,2.0,Moderate,0
23.0,Male,Bachelor's (Type 2),10.0,2,21.25742768,98.0,63.0,50.0,Conservative,0
32.0,Female,Bachelor's (Type 2),14.0,2,12.95072673,64.0,7.0,78.0,Aggressive,1
26.0,Female,Bachelor's (Type 2),12.0,3,32.44364485,59.0,80.0,94.0,Aggressive,1
46.0,Male,Bachelor's (Type 1),7.0,3,33.01903733,45.0,94.0,53.0,Aggressive,1
38.0,Male,Bachelor's (Type 2),13.0,1,43.52521142,35.0,36.0,79.0,Aggressive,1
41.0,Male,PhD,2.0,3,38.04346342,57.0,96.0,73.0,Moderate,0
47.0,Male,Bachelor's (Type 2),9.0,2,28.12866635,75.0,26.0,92.0,Moderate,0
21.0,Male,Bachelor's (Type 1),5.0,3,33.6793385,37.0,44.0,58.0,Moderate,0
29.0,Male,Bachelor's (Type 2),0.0,5,14.69943908,10.0,3.0,5.0,Aggressive,0
32.0,Female,Master's,6.0,3,30.6528095,11.0,85.0,28.0,Aggressive,1
49.0,Male,Bachelor's (Type 2),7.0,2,25.46136274,41.0,89.0,16.0,Aggressive,1
44.0,Female,Bachelor's (Type 2),10.0,1,7.667223366,38.0,95.0,59.0,Aggressive,1
40.0,Female,Bachelor's (Type 1),13.0,4,13.12721383,70.0,87.0,21.0,Moderate,0
25.0,Male,Bachelor's (Type 2),7.0,3,15.58467254,10.0,98.0,23.0,Aggressive,1
47.0,Female,Bachelor's (Type 2),2.0,2,47.21547835,35.0,36.0,80.0,Aggressive,0
47.0,Female,Master's,13.0,4,12.51933197,51.0,95.0,84.0,Moderate,1
31.0,Female,Bachelor's (Type 2),9.0,4,15.46219514,30.0,70.0,50.0,Moderate,0
31.0,Female,Bachelor's (Type 1),0.0,5,19.4677065,32.0,32.0,49.0,Moderate,0
39.0,Female,Bachelor's (Type 1),8.0,4,34.18713693,12.0,30.0,10.0,Conservative,0
49.0,Female,Bachelor's (Type 1),12.0,2,6.911919624,17.0,54.0,55.0,Aggressive,1
49.0,Male,Bachelor's (Type 2),5.0,2,48.69726062,40.0,11.0,70.0,Moderate,0
30.0,Female,Bachelor's (Type 2),10.0,3,44.278561,57.0,10.0,41.0,Moderate,0
45.0,Female,Bachelor's (Type 2),8.0,3,29.86080365,55.0,87.0,38.0,Moderate,0
42.0,Female,Bachelor's (Type 2),6.0,3,34.70189337,23.0,71.0,68.0,Conservative,0
47.0,Male,Bachelor's (Type 2),0.0,4,1.833023562,72.0,31.0,47.0,Aggressive,0
44.0,Female,Bachelor's (Type 1),11.0,4,17.94723877,30.0,56.0,56.0,Moderate,0
26.0,Male,Bachelor's (Type 1),11.0,5,40.78301153,54.0,37.0,20.0,Aggressive,0
49.0,Female,Master's,0.0,3,4.87414869,9.0,59.0,81.0,Moderate,0
20.0,Male,Bachelor's (Type 2),5.0,1,15.11569171,59.0,85.0,98.0,Moderate,0
20.0,Male,Bachelor's (Type 2),4.0,5,30.26484142,1.0,97.0,19.0,Conservative,0
44.0,Female,Master's,8.0,1,13.82065138,14.0,18.0,14.0,Conservative,0
46.0,Female,Bachelor's (Type 2),1.0,4,47.69889871,2.0,83.0,68.0,Moderate,0
49.0,Male,Master's,7.0,5,7.55293154,42.0,55.0,76.0,Aggressive,1
44.0,Female,Bachelor's (Type 2),10.0,5,40.8697179,30.0,13.0,50.0,Moderate,0
39.0,Male,PhD,4.0,2,26.3974346,69.0,32.0,75.0,Moderate,0
32.0,Male,Bachelor's (Type 1),1.0,4,38.51653879,66.0,9.0,61.0,Aggressive,0
28.0,Male,Bachelor's (Type 1),12.0,4,16.53576642,55.0,79.0,84.0,Moderate,0
22.0,Male,Bachelor's (Type 2),9.0,5,26.72448012,62.0,63.0,36.0,Conservative,0
26.0,Male,PhD,10.0,4,43.84176749,74.0,63.0,5.0,Moderate,1
25.0,Female,Master's,10.0,5,24.34390496,14.0,61.0,70.0,Moderate,1
27.0,Male,Bachelor's (Type 1),11.0,2,18.9859931,91.0,67.0,25.0,Conservative,0
46.0,Male,Bachelor's (Type 2),5.0,5,27.80776931,9.0,90.0,7.0,Aggressive,0
28.0,Female,PhD,9.0,4,36.86813765,37.0,91.0,72.0,Aggressive,1
49.0,Male,Bachelor's (Type 2),7.0,4,23.17816727,46.0,42.0,90.0,Moderate,0
24.0,Female,Master's,3.0,5,47.94384876,56.0,79.0,3.0,Moderate,0
20.0,Female,Master's,1.0,5,15.7472912,49.0,58.0,20.0,Moderate,0
38.0,Female,Bachelor's (Type 2),11.0,5,24.77318031,70.0,51.0,30.0,Aggressive,1
29.0,Male,Bachelor's (Type 2),10.0,3,38.84638297,14.0,96.0,20.0,Aggressive,1
31.0,Male,Bachelor's (Type 2),4.0,4,35.45605452,17.0,18.0,24.0,Aggressive,0
43.0,Male,Bachelor's (Type 2),14.0,4,44.18205262,81.0,20.0,14.0,Conservative,0
34.0,Female,Master's,11.0,3,50.84045903,87.0,21.0,34.0,Moderate,0
46.0,Male,Bachelor's (Type 2),1.0,5,22.34291644,1.0,8.0,48.0,Moderate,0
41.0,Female,Master's,1.0,2,6.557543989,83.0,8.0,42.0,Aggressive,1
43.0,Male,Bachelor's (Type 1),14.0,5,2.52079404,97.0,72.0,40.0,Aggressive,1
28.0,Female,PhD,5.0,5,37.34384531,42.0,26.0,36.0,Moderate,0
39.0,Male,Bachelor's (Type 2),15.0,3,44.70068357,25.0,16.0,56.0,Aggressive,0
36.0,Male,Bachelor's (Type 1),10.0,4,12.0356293,70.0,43.0,41.0,Moderate,0
49.0,Male,Bachelor's (Type 1),9.0,5,8.922401859,37.0,44.0,46.0,Moderate,0
36.0,Female,Master's,8.0,4,4.110254576,93.0,7.0,91.0,Moderate,1
45.0,Female,Bachelor's (Type 2),12.0,1,42.13514609,41.0,79.0,60.0,Moderate,0
39.0,Male,Master's,3.0,4,16.56909699,4.0,17.0,13.0,Moderate,0
31.0,Male,Bachelor's (Type 1),5.0,2,21.08484464,10.0,32.0,67.0,Aggressive,0
49.0,Female,Bachelor's (Type 1),15.0,2,26.13750958,64.0,0.0,52.0,Moderate,0
26.0,Female,Bachelor's (Type 2),6.0,5,42.97266171,33.0,75.0,83.0,Moderate,0
21.0,Female,Bachelor's (Type 2),12.0,4,33.54166108,0.0,5.0,33.0,Aggressive,0
22.0,Male,Bachelor's (Type 2),10.0,5,31.75323149,82.0,40.0,75.0,Conservative,0
36.0,Female,PhD,5.0,3,9.783604998,1.0,54.0,96.0,Aggressive,1
24.0,Male,PhD,7.0,2,26.65949459,84.0,4.0,23.0,Aggressive,1
36.0,Female,PhD,3.0,5,36.76905086,19.0,58.0,19.0,Aggressive,1
43.0,Male,Master's,11.0,3,49.66304415,60.0,79.0,68.0,Conservative,1
36.0,Female,Bachelor's (Type 2),14.0,5,11.07031546,86.0,17.0,29.0,Moderate,0
46.0,Female,Bachelor's (Type 2),0.0,4,1.477167653,20.0,48.0,87.0,Moderate,0
36.0,Female,Bachelor's (Type 2),6.0,4,4.76507168,87.0,81.0,6.0,Aggressive,1
21.0,Female,Master's,2.0,4,19.79262326,67.0,64.0,35.0,Moderate,0
21.0,Female,Bachelor's (Type 1),13.0,4,42.02723239,11.0,82.0,37.0,Moderate,0
47.0,Male,Bachelor's (Type 2),5.0,1,1.357104088,21.0,53.0,79.0,Conservative,0
